idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
2379782,2025-11-14 19:00:00,Round 1128,Cannes,1,Annecy,2,,
2379783,2025-11-14 19:00:00,Round 1128,Olympique de Villefontaine,0,Grenoble,3,,
2379788,2025-11-15 04:00:00,Round 1128,AS Magenta,0,Mulhouse,3,,
2379784,2025-11-15 13:00:00,Round 1128,Avranches,0,Paris 13 Atletico,0,,
2379785,2025-11-15 13:00:00,Round 1128,ASPTT Dijon,0,Le Puy Foot 43,1,,
2379786,2025-11-15 13:00:00,Round 1128,Olympique Charleville Prix AM,0,Stade de Reims,1,,
2379787,2025-11-15 13:00:00,Round 1128,Auby,0,Amiens,3,,
2379789,2025-11-15 14:00:00,Round 1128,France d'Aizenay,0,Troyes,3,,
2379791,2025-11-15 15:00:00,Round 1128,Pontarlier,2,Sochaux,2,,
2379792,2025-11-15 15:00:00,Round 1128,Lavaur,1,Rodez AF,3,,
2379793,2025-11-15 15:00:00,Round 1128,Château-Malo,0,Bastia,6,,
2379794,2025-11-15 16:00:00,Round 1128,Andrézieux-Bouthéon,1,Hauts Lyonnais,1,,
2379795,2025-11-15 16:00:00,Round 1128,Rhône-Vallées,1,Grasse,1,,
2379796,2025-11-15 16:00:00,Round 1128,Orvault,1,Les Herbiers,3,,
2379797,2025-11-15 16:00:00,Round 1128,Sarreguemines,5,Furiani-Agliani,3,,
2379798,2025-11-15 16:00:00,Round 1128,Saint-Colomban Locminé,1,Guingamp,2,,
2379799,2025-11-15 16:00:00,Round 1128,Les Bleuets,0,Concarneau,3,,
2379800,2025-11-15 16:00:00,Round 1128,Villars l'Isle,1,Sarre-Union,1,,
2379801,2025-11-15 17:00:00,Round 1128,Granville,3,Dinan-Léhon,1,,
2379802,2025-11-15 17:00:00,Round 1128,Croix,2,Racing CFF,2,,
2379803,2025-11-15 17:00:00,Round 1128,Ivry,1,Le Mans,1,,
2379804,2025-11-15 17:00:00,Round 1128,Loon-Plage,1,Stade Béthunois,1,,
2379805,2025-11-15 17:00:00,Round 1128,Oissel,2,Quevilly-Rouen Métropole,2,,
2379806,2025-11-15 17:00:00,Round 1128,Orléans,3,Aviron Bayonnais,0,,
2379807,2025-11-15 17:00:00,Round 1128,Sablé,0,Saint-Malo,0,,
2379808,2025-11-15 17:00:00,Round 1128,L'Union Saint-Jean,1,Angoulême Charente,0,,
2379809,2025-11-15 17:00:00,Round 1128,Steenvoorde,1,Chambly Oise,1,,
2379810,2025-11-15 17:00:00,Round 1128,Strasbourg FCOSK,2,Biesheim,3,,
2379811,2025-11-15 17:00:00,Round 1128,Trélissac,0,Pau FC,2,,
2379812,2025-11-15 17:00:00,Round 1128,Yvetot,2,ASPTT Caen,1,,
2379813,2025-11-15 17:00:00,Round 1128,APM Metz,2,Fleury,2,,
2379814,2025-11-15 17:00:00,Round 1128,Bayeux,3,Caen,2,,
2379815,2025-11-15 17:00:00,Round 1128,Racing Besançon,4,Thionville Lusitanos,0,,
2379816,2025-11-15 17:00:00,Round 1128,Cambrai,0,Entente Feignies Aulnoye,4,,
2379817,2025-11-15 17:00:00,Round 1128,Challans,0,GSI Pontivy,2,,
2379818,2025-11-15 17:00:00,Round 1128,Montpellier Atlas Paillade,0,Bourg-Péronnas,2,,
2379819,2025-11-15 17:00:00,Round 1128,2 Rives 82,0,Mazères-Uzos-Rontignon,1,,
2379820,2025-11-15 17:00:00,Round 1128,Lapalisse,1,Stade Poitevin,2,,
2379821,2025-11-15 17:00:00,Round 1128,Le Cellier Mauves,0,Laval,6,,
2379822,2025-11-15 17:00:00,Round 1128,Montceau Bourgogne,2,L'Etrat La Tour Sportif,1,,
2379823,2025-11-15 17:00:00,Round 1128,Stade Quimperlois,0,Ancienne de Château-Gontier,9,,
2379824,2025-11-15 17:00:00,Round 1128,Montreuil,1,Bandrélé,0,,
2379825,2025-11-15 17:00:00,Round 1128,Montréal-la-Cluse,0,Chalon,3,,
2379826,2025-11-15 17:00:00,Round 1128,Vendée Fontenay Foot,0,Chamalières,0,,
2382024,2025-11-15 17:00:00,Round 1128,Seyssinet,0,Aubagne Air Bel,0,,
2379827,2025-11-15 18:00:00,Round 1128,Prémontré Saint-Gobain,0,Chantilly,3,,
2379828,2025-11-15 18:00:00,Round 1128,Seignosse Capbreton Soustons,2,Marmande,3,,
2379829,2025-11-15 18:00:00,Round 1128,Allinges,1,Istres,2,,
2379830,2025-11-15 18:00:00,Round 1128,Montmorillon,0,Beaucouzé,1,,
2379831,2025-11-15 18:00:00,Round 1128,Biars Bretenoux,0,Châteauroux,2,,
2379832,2025-11-15 18:00:00,Round 1128,Carnoux,5,Pirae,1,,
2385884,2025-11-15 18:00:00,Round 1128,Espoir de Sainte-Luce,0,Eveil des Trois-Ilets,0,,
2381958,2025-11-15 18:45:00,Round 1128,Étoile Matoury,2,Le Geldar,2,,
2379833,2025-11-15 19:00:00,Round 1128,Gouzon,1,Chauvigny,5,,
2379834,2025-11-15 19:00:00,Round 1128,Auch,1,Canet Roussillon,4,,
2379790,2025-11-15 19:30:00,Round 1128,Moulien,2,Gosier,3,,
2379835,2025-11-15 19:30:00,Round 1128,Quetigny,1,St Etienne,3,,
2379836,2025-11-16 12:00:00,Round 1128,Reims Sainte-Anne,2,Gazélec Ajaccio,1,,
2381960,2025-11-16 12:15:00,Round 1128,Saint-Pauloise,1,Dominicaine,0,,
2379837,2025-11-16 13:00:00,Round 1128,Saint-Cyr Collonges,0,Thonon Evian Grand Genève,0,,
2379838,2025-11-16 13:00:00,Round 1128,Cormontreuil,5,Porto Portugais Amiens,2,,
2379839,2025-11-16 13:00:00,Round 1128,Wittenheim,2,Freyming,2,,
2379840,2025-11-16 13:00:00,Round 1128,Saint-Brice Courcelles,1,Bogny-sur-Meuse,1,,
2379841,2025-11-16 13:00:00,Round 1128,Beaumont SA,4,Aubervilliers,7,,
2379842,2025-11-16 13:00:00,Round 1128,Pierrelatte,0,Lyon - La Duchère,2,,
2379843,2025-11-16 13:00:00,Round 1128,Entente Nord Lozère,4,Ecotay Moingt,4,,
2379844,2025-11-16 13:00:00,Round 1128,Mauguio Carnon,0,Is-Selongey,0,,
2379845,2025-11-16 13:00:00,Round 1128,Etoile de Bobigny,1,Amicale Villeneuve-la-Garenne,1,,
2379846,2025-11-16 13:00:00,Round 1128,Savigneux Montbrison,3,Feurs,5,,
2379847,2025-11-16 13:00:00,Round 1128,Mérignac,0,Colomiers,0,,
2379848,2025-11-16 13:00:00,Round 1128,Saint-Meziéry,1,Périgny,1,,
2379849,2025-11-16 13:00:00,Round 1128,Capelle Grande,2,Abbeville,3,,
2379850,2025-11-16 13:00:00,Round 1128,Plédran,0,Stade Plabennécois,2,,
2379851,2025-11-16 13:00:00,Round 1128,Olympique Marcquois,5,Aire-sur-la-Lys,0,,
2379852,2025-11-16 13:00:00,Round 1128,Longuenesse,0,Bondues,2,,
2379853,2025-11-16 13:00:00,Round 1128,JA Drancy,0,Beauvais Oise,0,,
2379854,2025-11-16 13:00:00,Round 1128,Association Still-Mutzig,0,Raon,3,,
2379855,2025-11-16 13:00:00,Round 1128,Camon,0,Lusitanos Saint-Maur,7,,
2379856,2025-11-16 13:00:00,Round 1128,Bassin Arcachon,4,Blagnac,1,,
2379857,2025-11-16 13:00:00,Round 1128,Avion,0,Torcy,2,,
2379858,2025-11-16 13:30:00,Round 1128,Saint-Renan,0,Stade Briochin,4,,
2379859,2025-11-16 13:30:00,Round 1128,Le Poinçonnet,0,Romorantin,2,,
2379860,2025-11-16 13:30:00,Round 1128,Pen Hir Camaret,1,Les Sables VF,1,,
2379861,2025-11-16 14:00:00,Round 1128,RCO Agde,0,Montpellier,2,,
2379862,2025-11-16 14:00:00,Round 1128,Saint-Amand,0,Dieppe,3,,
2379863,2025-11-16 14:00:00,Round 1128,Touraine,1,Épernay,1,,
2379864,2025-11-16 14:00:00,Round 1128,Vitré,1,Plouvorn,1,,
2379865,2025-11-16 14:45:00,Round 1128,Boulogne,2,USL Dunkerque,2,,
2379866,2025-11-16 14:45:00,Round 1128,Blois,1,Clermont Foot,1,,
2379867,2025-11-16 14:45:00,Round 1128,Forbach,0,Red Star,2,,
2379868,2025-11-16 14:45:00,Round 1128,Nancy Lorraine,5,GSA Tomblaine,0,,
2379869,2025-11-16 14:45:00,Round 1128,Entente Boé Bon-Encontre,0,Bordeaux,1,,
2384275,2025-11-28 18:30:00,Round 128,Concarneau,1,Stade Briochin,0,,
2384265,2025-11-28 19:00:00,Round 128,Annecy,1,Grenoble,2,,
2384300,2025-11-28 19:00:00,Round 128,Sarreguemines,3,Nancy Lorraine,4,,
2384271,2025-11-29 12:30:00,Round 128,Bogny-sur-Meuse,0,Lusitanos Saint-Maur,3,,
2384280,2025-11-29 12:30:00,Round 128,Freyming,1,Racing Besançon,0,,
2384289,2025-11-29 12:30:00,Round 128,Montceau Bourgogne,0,Montpellier,2,,
2384301,2025-11-29 12:30:00,Round 128,Sarre-Union,0,Sochaux,6,,
2384305,2025-11-29 12:30:00,Round 128,Torcy,1,Stade de Reims,5,,
2384282,2025-11-29 13:00:00,Round 128,Croix,2,Le Geldar,1,,
2384294,2025-11-29 13:00:00,Round 128,Reims Sainte-Anne,0,Amiens,4,,
2384297,2025-11-29 13:00:00,Round 128,L'Union Saint-Jean,1,Orléans,2,,
2384270,2025-11-29 14:00:00,Round 128,Biesheim,1,Red Star,1,,
2384272,2025-11-29 14:00:00,Round 128,Canet Roussillon,1,Rodez AF,0,,
2384298,2025-11-29 15:00:00,Round 128,Saint-Malo,0,Bastia,0,,
2384283,2025-11-29 15:30:00,Round 128,Laval,6,Saint-Pauloise,0,,
2384281,2025-11-29 16:00:00,Round 128,Hauts Lyonnais,1,Feurs,1,,
2384263,2025-11-29 17:00:00,Round 128,Abbeville,0,USL Dunkerque,5,,
2384264,2025-11-29 17:00:00,Round 128,Ancienne de Château-Gontier,0,Guingamp,4,,
2384266,2025-11-29 17:00:00,Round 128,APM Metz,0,Entente Feignies Aulnoye,2,,
2384269,2025-11-29 17:00:00,Round 128,Beauvais Oise,1,Dieppe,2,,
2384273,2025-11-29 17:00:00,Round 128,Chalon,0,Le Puy Foot 43,1,,
2384279,2025-11-29 17:00:00,Round 128,Vendée Fontenay Foot,4,Châteauroux,1,,
2384285,2025-11-29 17:00:00,Round 128,Lyon - La Duchère,3,Carnoux,1,,
2384286,2025-11-29 17:00:00,Round 128,Olympique Marcquois,2,Bondues,0,,
2384290,2025-11-29 17:00:00,Round 128,Montreuil,1,Granville,1,,
2384292,2025-11-29 17:00:00,Round 128,Stade Plabennécois,1,Les Herbiers,2,,
2384295,2025-11-29 17:00:00,Round 128,Romorantin,2,Blois,2,,
2384299,2025-11-29 17:00:00,Round 128,Mérignac,1,Pau FC,0,,
2384302,2025-11-29 17:00:00,Round 128,Is-Selongey,2,Bourg-Péronnas,3,,
2384303,2025-11-29 17:00:00,Round 128,Seyssinet,0,Istres,2,,
2384304,2025-11-29 17:00:00,Round 128,Steenvoorde,0,Stade Béthunois,0,,
2384307,2025-11-29 17:00:00,Round 128,Amicale Villeneuve-la-Garenne,2,Le Mans,2,,
2384308,2025-11-29 17:00:00,Round 128,Yvetot,0,Bayeux,1,,
2384293,2025-11-29 17:30:00,Round 128,Raon,2,Mulhouse,2,,
2384274,2025-11-29 18:00:00,Round 128,Chauvigny,3,Stade Poitevin,3,,
2384288,2025-11-29 18:00:00,Round 128,Mazères-Uzos-Rontignon,3,Bordeaux,4,,
2384291,2025-11-29 18:00:00,Round 128,Périgny,3,Beaucouzé,1,,
2384287,2025-11-29 19:00:00,Round 128,Marmande,0,Bassin Arcachon,0,,
2384267,2025-11-29 19:30:00,Round 128,Gosier,2,Oissel,2,,
2384277,2025-11-29 19:30:00,Round 128,Ecotay Moingt,11,St Etienne,1,,
2389248,2025-11-29 19:30:00,Round 128,St Etienne,11,Ecotay Moingt,1,,
2384278,2025-11-29 21:00:00,Round 128,Espoir,0,GSI Pontivy,4,,
2384268,2025-11-30 12:30:00,Round 128,Avranches,1,Aubervilliers,1,,
