idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
2301812,2025-08-01 18:45:00,Round 400,Bootle,4,1874 Northwich,0,,
2301813,2025-08-01 18:45:00,Round 400,Pickering Town,3,Penrith,2,,
2301814,2025-08-01 18:45:00,Round 400,Enfield,0,Wormley Rovers,0,,
2301815,2025-08-01 18:45:00,Round 400,Roman Glass St George,7,Nailsea and Tickenham,0,,
2301816,2025-08-01 18:45:00,Round 400,Stone Old Alleynians,0,Sutton Coldfield Town,2,,
2301817,2025-08-01 19:00:00,Round 400,Belper United,2,Uttoxeter Town,1,,
2301818,2025-08-01 19:00:00,Round 400,Wokingham Town,3,Brislington,2,,
2301819,2025-08-02 11:00:00,Round 400,Hamworthy Recreation,1,Hartley Wintney,2,,
2301820,2025-08-02 13:00:00,Round 400,Guernsey,1,Bedfont Sports,1,,
2301821,2025-08-02 14:00:00,Round 400,South Park,2,Newhaven,1,,
2301822,2025-08-02 14:00:00,Round 400,Ipswich Wanderers,2,Lakenheath,1,,
2301823,2025-08-02 14:00:00,Round 400,Edgware Town,2,British Airways,0,,
2301824,2025-08-02 14:00:00,Round 400,Lydney Town,3,Royal Wootton Bassett Town,3,,
2301825,2025-08-02 14:00:00,Round 400,Worcester Raiders,1,Ashby Ivanhoe,0,,
2301826,2025-08-02 14:00:00,Round 400,Eastbourne Town,2,Ashford Town Middlesex,2,,
2301827,2025-08-02 14:00:00,Round 400,Witton Albion,4,Cheadle Town,1,,
2301828,2025-08-02 14:00:00,Round 400,St Blazey,1,Buckland Athletic,2,,
2301829,2025-08-02 14:00:00,Round 400,Loughborough Students,1,Barton Town,1,,
2301830,2025-08-02 14:00:00,Round 400,Hinckley,4,Highgate United,2,,
2301831,2025-08-02 14:00:00,Round 400,Glossop North End,1,FC St Helens,1,,
2301832,2025-08-02 14:00:00,Round 400,Colney Heath,0,Woodford Town,4,,
2301833,2025-08-02 14:00:00,Round 400,Newcastle Town,4,Stourport Swifts,0,,
2301834,2025-08-02 14:00:00,Round 400,Willand Rovers,0,Barnstaple Town,2,,
2301835,2025-08-02 14:00:00,Round 400,Harrowby United,1,Bourne Town,2,,
2301836,2025-08-02 14:00:00,Round 400,Stanway Rovers,1,Romford,0,,
2301837,2025-08-02 14:00:00,Round 400,East Grinstead Town,1,Eastbourne United,4,,
2301838,2025-08-02 14:00:00,Round 400,Barking,1,Grays,2,,
2301839,2025-08-02 14:00:00,Round 400,Knaresborough Town,0,Bridlington Town,0,,
2301840,2025-08-02 14:00:00,Round 400,Dunstable Town,1,Great Wakering Rovers,3,,
2301841,2025-08-02 14:00:00,Round 400,Haverhill Rovers,3,Wisbech Town,2,,
2301842,2025-08-02 14:00:00,Round 400,Lingfield,2,Whitstable Town,7,,
2301843,2025-08-02 14:00:00,Round 400,Eynesbury Rovers,4,Potton United,1,,
2301844,2025-08-02 14:00:00,Round 400,Kirkley and Pakefield,0,Cambridge City,1,,
2301845,2025-08-02 14:00:00,Round 400,Haywards Heath Town,0,Ashford United,1,,
2301846,2025-08-02 14:00:00,Round 400,Peacehaven and Telscombe,2,Harefield United,2,,
2301847,2025-08-02 14:00:00,Round 400,Trafford,2,Barnoldswick Town,1,,
2301848,2025-08-02 14:00:00,Round 400,Cribbs,2,Easington Sports,0,,
2301849,2025-08-02 14:00:00,Round 400,Hollands and Blair,1,Herne Bay,0,,
2301850,2025-08-02 14:00:00,Round 400,Mulbarton Wanderers,3,Dereham Town,1,,
2301851,2025-08-02 14:00:00,Round 400,Walthamstow,1,Brantham Athletic,1,,
2301852,2025-08-02 14:00:00,Round 400,Boston Town,2,Kimberley Miners Welfare,0,,
2301853,2025-08-02 14:00:00,Round 400,Bishop Auckland,2,Whickham,2,,
2301854,2025-08-02 14:00:00,Round 400,Sheffield FC,1,Albion Sports,1,,
2301855,2025-08-02 14:00:00,Round 400,Northwood,0,Egham Town,1,,
2301856,2025-08-02 14:00:00,Round 400,Daventry,3,Leicester Nirvana,2,,
2301857,2025-08-02 14:00:00,Round 400,Burnham,3,Holyport,2,,
2301858,2025-08-02 14:00:00,Round 400,Sheppey United,3,Metropolitan Police,1,,
2301859,2025-08-02 14:00:00,Round 400,Street,2,Brixham,2,,
2301860,2025-08-02 14:00:00,Round 400,Guildford City,1,Sutton Common Rovers,1,,
2301861,2025-08-02 14:00:00,Round 400,Pershore Town,2,Darlaston Town,1,,
2301862,2025-08-02 14:00:00,Round 400,AFC Croydon Athletic,3,Roffey,0,,
2301863,2025-08-02 14:00:00,Round 400,Whitley Bay,0,Heaton Stannington,1,,
2301864,2025-08-02 14:00:00,Round 400,Faversham Strike Force,0,Glebe,4,,
2301865,2025-08-02 14:00:00,Round 400,Parkgate,1,Eccleshill United,0,,
2301866,2025-08-02 14:00:00,Round 400,North Shields,0,Newcastle Blue Star,2,,
2301867,2025-08-02 14:00:00,Round 400,Erith Town,0,Sporting Bengal United,0,,
2301868,2025-08-02 14:00:00,Round 400,Atherton Laburnum Rovers,1,Ossett United,0,,
2301869,2025-08-02 14:00:00,Round 400,Longlevens,1,Fairford Town,5,,
2301870,2025-08-02 14:00:00,Round 400,Midhurst and Easebourne,0,Knaphill,1,,
2301871,2025-08-02 14:00:00,Round 400,Hallen,1,Highworth Town,0,,
2301872,2025-08-02 14:00:00,Round 400,Cockfosters,2,Kings Langley,2,,
2301873,2025-08-02 14:00:00,Round 400,Lincoln United,3,Northampton ON Chenecks,0,,
2301874,2025-08-02 14:00:00,Round 400,Hythe Town,2,Littlehampton Town,5,,
2301875,2025-08-02 14:00:00,Round 400,Cirencester,0,Reading City,0,,
