idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
2272228,2025-07-08 16:00:00,Round 400,St Josephs,2,Cliftonville,2,,https://r2.thesportsdb.com/images/media/event/thumb/rave261750758604.jpg
2272229,2025-07-08 17:30:00,Round 400,Floriana,2,Haverfordwest County,1,,https://r2.thesportsdb.com/images/media/event/thumb/5ecnor1750758607.jpg
2272230,2025-07-10 14:00:00,Round 400,Atlètic d'Escaldes,2,F91 Dudelange,0,,https://r2.thesportsdb.com/images/media/event/thumb/r90gdh1750758611.jpg
2272233,2025-07-10 15:00:00,Round 400,FCB Magpies,2,Paide Linnameeskond,3,,https://r2.thesportsdb.com/images/media/event/thumb/51fe051750758622.jpg
2272234,2025-07-10 16:00:00,Round 400,SJK Seinajoki,1,KÍ Klaksvík,2,,https://r2.thesportsdb.com/images/media/event/thumb/c56ubn1750758625.jpg
2272235,2025-07-10 16:00:00,Round 400,Torpedo Kutaisi,4,Ordabasy Shymkent,3,,https://r2.thesportsdb.com/images/media/event/thumb/27ojd41750758629.jpg
2272236,2025-07-10 16:00:00,Round 400,Kauno Žalgiris,3,Pen-y-Bont,0,,https://r2.thesportsdb.com/images/media/event/thumb/s5b9c11750758650.jpg
2272237,2025-07-10 16:30:00,Round 400,Racing Union Luxembourg,1,Dila Gori,2,,https://r2.thesportsdb.com/images/media/event/thumb/e0vgtl1750758672.jpg
2272238,2025-07-10 16:30:00,Round 400,Urartu,1,Neman Grodno,2,,https://r2.thesportsdb.com/images/media/event/thumb/9pn7fr1750758675.jpg
2272239,2025-07-10 16:45:00,Round 400,Nõmme Kalju,1,Partizani Tirana,1,,https://r2.thesportsdb.com/images/media/event/thumb/xcf4fq1750758679.jpg
2272240,2025-07-10 18:00:00,Round 400,Dečić,2,Sileks,0,,https://r2.thesportsdb.com/images/media/event/thumb/ys0bpv1750758682.jpg
2272241,2025-07-10 18:00:00,Round 400,Birkirkara,1,Petrocub Hîncești,0,,https://r2.thesportsdb.com/images/media/event/thumb/xju4621750758686.jpg
2272242,2025-07-10 18:00:00,Round 400,Vllaznia Shkodër,0,BFC Daugavpils,1,,https://r2.thesportsdb.com/images/media/event/thumb/lyraz91750758708.jpg
2272243,2025-07-10 18:00:00,Round 400,Torpedo-BelAZ Zhodino,3,Rabotnichki,0,,https://r2.thesportsdb.com/images/media/event/thumb/as751g1750758729.jpg
2272232,2025-07-10 18:15:00,Round 400,Malisheva,0,Víkingur Reykjavík,1,,https://r2.thesportsdb.com/images/media/event/thumb/ix22o11750758618.jpg
2272244,2025-07-10 18:30:00,Round 400,Sutjeska,1,Dynamo Brest,2,,https://r2.thesportsdb.com/images/media/event/thumb/sz7o9h1750758733.jpg
2272245,2025-07-10 18:30:00,Round 400,Željezničar Sarajevo,1,Koper,1,,https://r2.thesportsdb.com/images/media/event/thumb/rdckg61750758736.jpg
2272246,2025-07-10 18:30:00,Round 400,Vardar,3,La Fiorita,0,,https://r2.thesportsdb.com/images/media/event/thumb/920xvn1750758740.jpg
2272247,2025-07-10 18:45:00,Round 400,St Patricks,1,Hegelmann Litauen,0,,https://r2.thesportsdb.com/images/media/event/thumb/gl23ie1750758743.jpg
2272248,2025-07-10 18:45:00,Round 400,NSÍ Runavík,4,HJK Helsinki,0,,https://r2.thesportsdb.com/images/media/event/thumb/dk1h431750758747.jpg
2272231,2025-07-10 19:00:00,Round 400,Tre Fiori,1,Pyunik Yerevan,0,,https://r2.thesportsdb.com/images/media/event/thumb/7oyba91750758615.jpg
2272249,2025-07-10 19:00:00,Round 400,Borac Banja Luka,1,FC Santa Coloma,4,,https://r2.thesportsdb.com/images/media/event/thumb/mrubvf1750758751.jpg
2272250,2025-07-10 19:00:00,Round 400,Larne,0,Auda Kekava,0,,https://r2.thesportsdb.com/images/media/event/thumb/inkbo61750758754.jpg
2272251,2025-07-10 20:00:00,Round 400,Valur,3,Flora Tallinn,0,,https://r2.thesportsdb.com/images/media/event/thumb/o4cw0z1750758758.jpg
2272252,2025-07-16 16:00:00,Round 400,Auda Kekava,2,Larne,2,,https://r2.thesportsdb.com/images/media/event/thumb/smpb5s1750758761.jpg
2272253,2025-07-17 15:00:00,Round 400,BFC Daugavpils,2,Vllaznia Shkodër,4,,https://r2.thesportsdb.com/images/media/event/thumb/4j5hks1750758765.jpg
2272254,2025-07-17 16:00:00,Round 400,Ordabasy Shymkent,1,Torpedo Kutaisi,1,,https://r2.thesportsdb.com/images/media/event/thumb/upjhoo1750758769.jpg
2272255,2025-07-17 16:00:00,Round 400,Flora Tallinn,1,Valur,2,,https://r2.thesportsdb.com/images/media/event/thumb/zicsrj1750758772.jpg
2272256,2025-07-17 16:00:00,Round 400,HJK Helsinki,5,NSÍ Runavík,0,,https://r2.thesportsdb.com/images/media/event/thumb/zm2tpj1750758776.jpg
2272257,2025-07-17 16:00:00,Round 400,FC Santa Coloma,0,Borac Banja Luka,2,,https://r2.thesportsdb.com/images/media/event/thumb/4d1m901750758779.jpg
2272258,2025-07-17 16:00:00,Round 400,Pyunik Yerevan,5,Tre Fiori,0,,https://r2.thesportsdb.com/images/media/event/thumb/kwh6mf1750758783.jpg
2272259,2025-07-17 16:00:00,Round 400,Hegelmann Litauen,0,St Patricks,2,,https://r2.thesportsdb.com/images/media/event/thumb/3x0r931750758787.jpg
2272260,2025-07-17 16:00:00,Round 400,Dila Gori,1,Racing Union Luxembourg,0,,https://r2.thesportsdb.com/images/media/event/thumb/pgidx01750758791.jpg
2272261,2025-07-17 16:00:00,Round 400,Rabotnichki,0,Torpedo-BelAZ Zhodino,1,,https://r2.thesportsdb.com/images/media/event/thumb/dw58hc1750758794.jpg
2272262,2025-07-17 16:30:00,Round 400,Paide Linnameeskond,4,FCB Magpies,1,,https://r2.thesportsdb.com/images/media/event/thumb/38v9zv1750758798.jpg
2272263,2025-07-17 17:00:00,Round 400,Haverfordwest County,2,Floriana,3,,https://r2.thesportsdb.com/images/media/event/thumb/108icl1750758802.jpg
2272264,2025-07-17 17:00:00,Round 400,Sileks,2,Dečić,1,,https://r2.thesportsdb.com/images/media/event/thumb/6ozsk51750758805.jpg
2272265,2025-07-17 17:00:00,Round 400,Petrocub Hîncești,3,Birkirkara,0,,https://r2.thesportsdb.com/images/media/event/thumb/qek3yo1750758809.jpg
2272266,2025-07-17 17:00:00,Round 400,Pen-y-Bont,1,Kauno Žalgiris,1,,https://r2.thesportsdb.com/images/media/event/thumb/ljr6141750758813.jpg
2272267,2025-07-17 17:00:00,Round 400,F91 Dudelange,2,Atlètic d'Escaldes,3,,https://r2.thesportsdb.com/images/media/event/thumb/ihkg0f1750758816.jpg
2272268,2025-07-17 17:30:00,Round 400,Koper,3,Željezničar Sarajevo,1,,https://r2.thesportsdb.com/images/media/event/thumb/gwep6b1750758820.jpg
2272269,2025-07-17 18:00:00,Round 400,Neman Grodno,4,Urartu,0,,https://r2.thesportsdb.com/images/media/event/thumb/neesfq1750758824.jpg
2272270,2025-07-17 18:00:00,Round 400,Partizani Tirana,0,Nõmme Kalju,1,,https://r2.thesportsdb.com/images/media/event/thumb/94uqh51750758828.jpg
2272271,2025-07-17 18:30:00,Round 400,Dynamo Brest,0,Sutjeska,2,,https://r2.thesportsdb.com/images/media/event/thumb/iau6p71750758831.jpg
2272272,2025-07-17 18:45:00,Round 400,Cliftonville,2,St Josephs,3,,https://r2.thesportsdb.com/images/media/event/thumb/ge4up81750758835.jpg
2272273,2025-07-17 18:45:00,Round 400,Víkingur Reykjavík,8,Malisheva,0,,https://r2.thesportsdb.com/images/media/event/thumb/n3btmq1750758839.jpg
2272274,2025-07-17 18:45:00,Round 400,KÍ Klaksvík,2,SJK Seinajoki,0,,https://r2.thesportsdb.com/images/media/event/thumb/1t1fxt1750758842.jpg
2272275,2025-07-17 19:00:00,Round 400,La Fiorita,2,Vardar,2,,https://r2.thesportsdb.com/images/media/event/thumb/4ji6ds1750758846.jpg
2291965,2025-07-22 18:30:00,Round 400,Ballkani,4,Floriana,2,,https://r2.thesportsdb.com/images/media/event/thumb/8eda4r1753169992.jpg
2272286,2025-07-23 15:30:00,Round 400,Zira,1,Hajduk Split,1,,https://r2.thesportsdb.com/images/media/event/thumb/zlsrnr1750758887.jpg
2291966,2025-07-23 16:30:00,Round 400,Levadia Tallinn,1,Iberia 1999,0,,https://r2.thesportsdb.com/images/media/event/thumb/73wmye1753169996.jpg
2272285,2025-07-23 17:00:00,Round 400,Silkeborg IF,1,KA Akureyri,1,,https://r2.thesportsdb.com/images/media/event/thumb/mc5uuy1750758883.jpg
2291967,2025-07-23 18:00:00,Round 400,The New Saints,0,Differdange 03,1,,https://r2.thesportsdb.com/images/media/event/thumb/emgzf81753169999.jpg
2291968,2025-07-23 18:00:00,Round 400,Olimpija Ljubljana,4,Inter Club d'Escaldes,2,,https://r2.thesportsdb.com/images/media/event/thumb/g93q8l1753170003.jpg
2291969,2025-07-23 19:00:00,Round 400,Budućnost Podgorica,0,Milsami Orhei,0,,https://r2.thesportsdb.com/images/media/event/thumb/91iv0g1753170024.jpg
2272300,2025-07-24 14:00:00,Round 400,Astana,1,Zimbru Chișinău,1,,https://r2.thesportsdb.com/images/media/event/thumb/g8sim11750758940.jpg
2291970,2025-07-24 14:00:00,Round 400,Atlètic d'Escaldes,1,Dinamo City,2,,https://r2.thesportsdb.com/images/media/event/thumb/65rxlc1753170028.jpg
2291979,2025-07-24 15:30:00,Round 400,Paide Linnameeskond,0,AIK,2,,https://r2.thesportsdb.com/images/media/event/thumb/hise2i1753170096.jpg
2272277,2025-07-24 16:00:00,Round 400,Rosenborg,5,Banga Gargždai,0,,https://r2.thesportsdb.com/images/media/event/thumb/lbwuo11750758854.jpg
2272280,2025-07-24 16:00:00,Round 400,Aris Limassol,3,Puskás Akadémia FC,2,,https://r2.thesportsdb.com/images/media/event/thumb/s2yrso1750758865.jpg
2272288,2025-07-24 16:00:00,Round 400,Araz-Naxçıvan,2,Aris,1,,https://r2.thesportsdb.com/images/media/event/thumb/aklg1d1750758895.jpg
2272290,2025-07-24 16:00:00,Round 400,Ararat-Armenia,0,Universitatea Cluj,0,,https://r2.thesportsdb.com/images/media/event/thumb/vh4k891750758902.jpg
2291971,2025-07-24 16:00:00,Round 400,Hibernians,1,Spartak Trnava,2,,https://r2.thesportsdb.com/images/media/event/thumb/2afviq1753170031.jpg
2291972,2025-07-24 16:00:00,Round 400,St Josephs,0,Shamrock Rovers,4,,https://r2.thesportsdb.com/images/media/event/thumb/2pm1xz1753170035.jpg
