idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
2272310,2025-07-10 16:00:00,Round 400,Sabah FC,2,Celje,3,,https://r2.thesportsdb.com/images/media/event/thumb/4sl2hr1750758977.jpg
2272311,2025-07-10 16:30:00,Round 400,AEK Larnaca,1,Partizan Belgrade,0,,https://r2.thesportsdb.com/images/media/event/thumb/ztu9271750758980.jpg
2272312,2025-07-10 17:00:00,Round 400,Paks,0,CFR Cluj,0,,https://r2.thesportsdb.com/images/media/event/thumb/ik74sz1750758984.jpg
2272313,2025-07-10 17:00:00,Round 400,Sheriff Tiraspol,4,Prishtina,0,,https://r2.thesportsdb.com/images/media/event/thumb/2mbyfm1750758988.jpg
2272314,2025-07-10 17:30:00,Round 400,Levski Sofia,0,Hapoel Be'er Sheva,0,,https://r2.thesportsdb.com/images/media/event/thumb/g51ss31750758992.jpg
2272315,2025-07-10 18:00:00,Round 400,Shakhtar Donetsk,6,Ilves,0,,https://r2.thesportsdb.com/images/media/event/thumb/bw0pry1750758995.jpg
2272316,2025-07-10 18:15:00,Round 400,Spartak Trnava,0,Hacken,1,,https://r2.thesportsdb.com/images/media/event/thumb/zcjb3h1750758999.jpg
2272317,2025-07-10 19:00:00,Round 400,Legia Warsaw,1,Aktobe,0,,https://r2.thesportsdb.com/images/media/event/thumb/gglboq1750759003.jpg
2272318,2025-07-17 16:00:00,Round 400,Ilves,0,Shakhtar Donetsk,0,,https://r2.thesportsdb.com/images/media/event/thumb/i79bxz1750759006.jpg
2272319,2025-07-17 16:00:00,Round 400,Aktobe,0,Legia Warsaw,1,,https://r2.thesportsdb.com/images/media/event/thumb/col8bj1750759028.jpg
2272321,2025-07-17 17:00:00,Round 400,Hacken,2,Spartak Trnava,2,,https://r2.thesportsdb.com/images/media/event/thumb/n9bhgb1750759036.jpg
2272320,2025-07-17 17:30:00,Round 400,CFR Cluj,3,Paks,0,,https://r2.thesportsdb.com/images/media/event/thumb/gxhyjq1750759032.jpg
2272322,2025-07-17 18:00:00,Round 400,Prishtina,2,Sheriff Tiraspol,1,,https://r2.thesportsdb.com/images/media/event/thumb/w39bnl1750759040.jpg
2272323,2025-07-17 18:00:00,Round 400,Hapoel Be'er Sheva,0,Levski Sofia,0,,https://r2.thesportsdb.com/images/media/event/thumb/j8dexv1750759043.jpg
2272324,2025-07-17 18:00:00,Round 400,Celje,3,Sabah FC,3,,https://r2.thesportsdb.com/images/media/event/thumb/m5jjwu1750759047.jpg
2272325,2025-07-17 19:00:00,Round 400,Partizan Belgrade,1,AEK Larnaca,0,,https://r2.thesportsdb.com/images/media/event/thumb/yfmapx1750759051.jpg
2292030,2025-07-24 17:00:00,Round 400,Sheriff Tiraspol,1,Utrecht,3,,https://r2.thesportsdb.com/images/media/event/thumb/6672wi1753170375.jpg
2292031,2025-07-24 17:00:00,Round 400,Baník Ostrava,2,Legia Warsaw,2,,https://r2.thesportsdb.com/images/media/event/thumb/88on361753170379.jpg
2272326,2025-07-24 17:30:00,Round 400,FC Midtjylland,1,Hibernian,1,,https://r2.thesportsdb.com/images/media/event/thumb/jl0cxq1750759055.jpg
2292032,2025-07-24 17:30:00,Round 400,Levski Sofia,0,Braga,0,,https://r2.thesportsdb.com/images/media/event/thumb/wgncq31753170382.jpg
2292033,2025-07-24 18:00:00,Round 400,Anderlecht,1,Hacken,0,,https://r2.thesportsdb.com/images/media/event/thumb/cafvtn1753170386.jpg
2292034,2025-07-24 18:00:00,Round 400,Beşiktaş,2,Shakhtar Donetsk,4,,https://r2.thesportsdb.com/images/media/event/thumb/17noo81753170390.jpg
2292035,2025-07-24 18:00:00,Round 400,Celje,1,AEK Larnaca,1,,https://r2.thesportsdb.com/images/media/event/thumb/17omfi1753170394.jpg
2292036,2025-07-24 18:30:00,Round 400,Lugano,0,CFR Cluj,0,,https://r2.thesportsdb.com/images/media/event/thumb/8fsvak1753170397.jpg
2292038,2025-07-31 16:30:00,Round 400,AEK Larnaca,2,Celje,1,,https://r2.thesportsdb.com/images/media/event/thumb/ekhbew1753170405.jpg
2292039,2025-07-31 17:00:00,Round 400,Hacken,2,Anderlecht,1,,https://r2.thesportsdb.com/images/media/event/thumb/3hpzuz1753170409.jpg
2292040,2025-07-31 17:30:00,Round 400,CFR Cluj,1,Lugano,0,,https://r2.thesportsdb.com/images/media/event/thumb/leps2k1753170413.jpg
2292037,2025-07-31 18:00:00,Round 400,Shakhtar Donetsk,2,Beşiktaş,0,,https://r2.thesportsdb.com/images/media/event/thumb/3gvse91753170401.jpg
